"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USW00014732","LAGUARDIA AIRPORT, NY US","1995-03","0","22","72","3715","45.0","52.0","38.0"
"USW00014732","LAGUARDIA AIRPORT, NY US","1995-04","0","25","75","4105","52.0","60.1","43.9"
"USW00014732","LAGUARDIA AIRPORT, NY US","1995-05","46","46","90","4232","62.4","70.1","54.6"
"USW00014732","LAGUARDIA AIRPORT, NY US","1995-06","267","55","95","4233","72.4","80.6","64.1"
"USW00014732","LAGUARDIA AIRPORT, NY US","1995-07","725","62","103","0","79.8","87.1","72.5"
"USW00014732","LAGUARDIA AIRPORT, NY US","1995-08","1161","62","96","0","79.1","87.3","70.8"
"USW00014732","LAGUARDIA AIRPORT, NY US","1995-09","1308","52","89","40","68.6","75.3","61.8"
"USW00014732","LAGUARDIA AIRPORT, NY US","1995-10","1363","45","86","155","63.0","70.4","55.6"
"USW00014732","LAGUARDIA AIRPORT, NY US","1995-11","1363","27","73","749","45.2","51.3","39.1"
"USW00014732","LAGUARDIA AIRPORT, NY US","1995-12","1363","17","56","1707","34.1","39.4","28.8"
"USW00014732","LAGUARDIA AIRPORT, NY US","1996-01","0","8","59","2729","32.0","38.5","25.6"
"USW00014732","LAGUARDIA AIRPORT, NY US","1996-02","0","9","63","3596","35.1","41.5","28.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","1996-03","0","14","65","4369","40.0","47.2","32.9"
"USW00014732","LAGUARDIA AIRPORT, NY US","1996-04","2","34","81","4756","52.2","59.4","44.9"
"USW00014732","LAGUARDIA AIRPORT, NY US","1996-05","69","42","97","4947","61.0","69.0","53.0"
"USW00014732","LAGUARDIA AIRPORT, NY US","1996-06","271","54","88","4954","71.5","78.7","64.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","1996-07","567","64","91","0","74.6","81.0","68.0"
"USW00014732","LAGUARDIA AIRPORT, NY US","1996-08","897","63","92","0","75.6","82.0","69.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","1996-09","1066","54","89","26","69.8","75.5","64.1"
"USW00014732","LAGUARDIA AIRPORT, NY US","1996-10","1071","41","76","251","57.9","64.3","51.4"
"USW00014732","LAGUARDIA AIRPORT, NY US","1996-11","1071","24","69","884","43.9","49.2","38.6"
"USW00014732","LAGUARDIA AIRPORT, NY US","1996-12","1071","17","58","1604","41.8","46.9","36.7"
"USC00066655","PUTNAM LAKE, CT US","1994-01",,,,,,,
"USC00066655","PUTNAM LAKE, CT US","1994-02",,,,,,,
"USC00066655","PUTNAM LAKE, CT US","1994-04",,,,,,,
"USC00066655","PUTNAM LAKE, CT US","1994-05",,,,,,,
"USC00066655","PUTNAM LAKE, CT US","1994-06",,,,,,,
"USC00066655","PUTNAM LAKE, CT US","1995-06",,,,,,,
"USC00066655","PUTNAM LAKE, CT US","1995-07",,,,,,,
"USC00066655","PUTNAM LAKE, CT US","1995-08",,,,,,,
"USC00066655","PUTNAM LAKE, CT US","1995-09",,,,,,,
